,InformationGain_bin5,InformationGain_bin10,DecisionTree,RandomForestRegressor,LogisticRegression
0,sensor 6,sensor 6,sensor 8,sensor 8,sensor 8
1,sensor 8,sensor 8,sensor 6,sensor 6,sensor 4
2,sensor 2,sensor 1,sensor 0,sensor 4,sensor 0
3,sensor 4,sensor 2,sensor 1,sensor 0,sensor 3
4,sensor 1,sensor 4,sensor 4,sensor 2,sensor 7
5,sensor 0,sensor 0,sensor 2,sensor 1,sensor 9
6,sensor 3,sensor 5,sensor 3,sensor 9,sensor 2
7,sensor 5,sensor 3,sensor 5,sensor 5,sensor 5
8,sensor 9,sensor 9,sensor 7,sensor 3,sensor 6
9,sensor 7,sensor 7,sensor 9,sensor 7,sensor 1
